aggr5_0_score,aggr5_10_multiple_score,aggr5_10_single_score,aggr5_15_multiple_score,aggr5_15_single_score,aggr5_20_multiple_score,aggr5_20_single_score,aggr5_5_multiple_score,aggr5_5_single_score,aggr5_augmented_score,aggr7_0_score,aggr7_10_multiple_score,aggr7_10_single_score,aggr7_15_multiple_score,aggr7_15_single_score,aggr7_20_multiple_score,aggr7_20_single_score,aggr7_5_multiple_score,aggr7_5_single_score
0.000,0.406,0.459,0.000,0.773,0.294,0.000,0.584,0.773,0.000,0.459,0.000,0.503,0.000,0.703,0.640,0.000,0.000,0.410
0.000,0.000,0.635,0.000,0.000,0.000,0.555,0.640,0.538,0.416,0.000,0.000,0.575,0.640,0.555,0.406,0.660,0.000,0.000
0.630,0.660,0.525,0.595,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.505,0.000,0.000,0.580
0.333,0.333,0.333,0.000,0.000,0.000,0.640,0.406,0.000,0.584,0.522,0.500,0.445,0.000,0.406,0.593,0.000,0.612,0.000
0.000,0.485,0.000,0.000,0.682,0.410,0.000,0.612,0.000,0.703,0.000,0.680,0.480,0.000,0.445,0.672,0.520,0.000,0.000
0.445,0.000,0.598,0.000,0.500,0.000,0.550,0.477,0.737,0.480,0.000,0.000,0.541,0.000,0.000,0.000,0.367,0.000,0.000
0.682,0.000,0.406,0.000,0.000,0.000,0.555,0.605,0.640,0.406,0.000,0.000,0.000,0.445,0.600,0.000,0.000,0.445,0.580
0.608,0.396,0.445,0.000,0.000,0.445,0.000,0.000,0.655,0.000,0.000,0.640,0.000,0.000,0.000,0.559,0.000,0.575,0.387
0.480,0.000,0.392,0.737,0.406,0.000,0.555,0.000,0.000,0.445,0.396,0.000,0.640,0.682,0.535,0.000,0.000,0.416,0.000
0.406,0.392,0.387,0.406,0.392,0.406,0.000,0.323,0.000,0.392,0.333,0.000,0.000,0.410,0.000,0.352,0.000,0.000,0.406
0.480,0.550,0.333,0.387,0.333,0.392,0.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.406,0.000,0.680,0.333,0.459
0.000,0.000,0.000,0.406,0.000,0.000,0.406,0.000,0.000,0.367,0.000,0.000,0.000,0.295,0.000,0.225,0.000,0.000,0.367
0.000,0.396,0.410,0.333,0.000,0.645,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.406,0.512,0.387,0.000
0.406,0.406,0.445,0.000,0.000,0.000,0.505,0.392,0.406,0.333,0.000,0.000,0.000,0.406,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.406,0.000,0.500,0.703,0.406,0.000,0.000,0.333,0.392,0.000,0.387,0.000,0.392,0.000,0.406,0.000,0.608
0.410,0.000,0.445,0.410,0.000,0.367,0.000,0.387,0.000,0.000,0.000,0.000,0.000,0.000,0.367,0.000,0.000,0.000,0.000
0.445,0.387,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.406,0.000,0.000,0.000,0.000,0.000,0.406,0.000,0.000,0.406
0.000,0.639,0.000,0.333,0.000,0.333,0.000,0.459,0.655,0.406,0.520,0.406,0.295,0.660,0.387,0.000,0.000,0.000,0.547
0.703,0.540,0.000,0.000,0.392,0.000,0.000,0.773,0.480,0.333,0.406,0.000,0.000,0.575,0.387,0.000,0.000,0.387,0.406
0.000,0.584,0.000,0.680,0.333,0.000,0.557,0.630,0.000,0.000,0.000,0.000,0.000,0.660,0.672,0.000,0.000,0.000,0.000
0.000,0.392,0.620,0.353,0.000,0.000,0.000,0.000,0.465,0.000,0.367,0.000,0.333,0.000,0.333,0.406,0.406,0.000,0.477
0.460,0.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.513,0.000,0.333,0.000,0.000,0.000,0.000,0.595
0.000,0.313,0.000,0.000,0.406,0.000,0.392,0.392,0.000,0.406,0.000,0.000,0.295,0.000,0.000,0.000,0.000,0.000,0.000
