aggr5_0,aggr5_10_multiple,aggr5_10_single,aggr5_15_multiple,aggr5_15_single,aggr5_20_multiple,aggr5_20_single,aggr5_5_multiple,aggr5_5_single,aggr5_augmented,aggr7_0,aggr7_10_multiple,aggr7_10_single,aggr7_15_multiple,aggr7_15_single,aggr7_20_multiple,aggr7_20_single,aggr7_5_multiple,aggr7_5_single
0.0,0.0,0.0,0.655,0.58,0.0,0.0,0.575,0.0,0.406,0.406,0.525,0.392,0.0,0.0,0.559,0.655,0.5,0.406
0.0,0.406,0.459,0.0,0.773,0.294,0.0,0.584,0.773,0.0,0.459,0.0,0.503,0.0,0.703,0.64,0.0,0.0,0.41
0.0,0.0,0.635,0.0,0.0,0.0,0.555,0.64,0.538,0.416,0.0,0.0,0.575,0.64,0.555,0.406,0.66,0.0,0.0
0.63,0.66,0.525,0.595,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.505,0.0,0.0,0.58
0.333,0.333,0.333,0.0,0.0,0.0,0.64,0.406,0.0,0.584,0.522,0.5,0.445,0.0,0.406,0.593,0.0,0.612,0.0
0.0,0.485,0.0,0.0,0.682,0.41,0.0,0.612,0.0,0.703,0.0,0.68,0.48,0.0,0.445,0.672,0.52,0.0,0.0
0.445,0.0,0.598,0.0,0.5,0.0,0.55,0.477,0.737,0.48,0.0,0.0,0.541,0.0,0.0,0.0,0.367,0.0,0.0
0.682,0.0,0.406,0.0,0.0,0.0,0.555,0.605,0.64,0.406,0.0,0.0,0.0,0.445,0.6,0.0,0.0,0.445,0.58
0.608,0.396,0.445,0.0,0.0,0.445,0.0,0.0,0.655,0.0,0.0,0.64,0.0,0.0,0.0,0.559,0.0,0.575,0.387
0.48,0.0,0.392,0.737,0.406,0.0,0.555,0.0,0.0,0.445,0.396,0.0,0.64,0.682,0.535,0.0,0.0,0.416,0.0
0.406,0.392,0.387,0.406,0.392,0.406,0.0,0.323,0.0,0.392,0.333,0.0,0.0,0.41,0.0,0.352,0.0,0.0,0.406
0.48,0.55,0.333,0.387,0.333,0.392,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406,0.0,0.68,0.333,0.459
0.0,0.0,0.0,0.406,0.0,0.0,0.406,0.0,0.0,0.367,0.0,0.0,0.0,0.295,0.0,0.225,0.0,0.0,0.367
0.0,0.396,0.41,0.333,0.0,0.645,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.406,0.512,0.387,0.0
0.406,0.406,0.445,0.0,0.0,0.0,0.505,0.392,0.406,0.333,0.0,0.0,0.0,0.406,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.406,0.0,0.5,0.703,0.406,0.0,0.0,0.333,0.392,0.0,0.387,0.0,0.392,0.0,0.406,0.0,0.608
0.41,0.0,0.445,0.41,0.0,0.367,0.0,0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.367,0.0,0.0,0.0,0.0
0.445,0.387,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.406,0.0,0.0,0.0,0.0,0.0,0.406,0.0,0.0,0.406
0.0,0.639,0.0,0.333,0.0,0.333,0.0,0.459,0.655,0.406,0.52,0.406,0.295,0.66,0.387,0.0,0.0,0.0,0.547
0.703,0.54,0.0,0.0,0.392,0.0,0.0,0.773,0.48,0.333,0.406,0.0,0.0,0.575,0.387,0.0,0.0,0.387,0.406
0.0,0.584,0.0,0.68,0.333,0.0,0.557,0.63,0.0,0.0,0.0,0.0,0.0,0.66,0.672,0.0,0.0,0.0,0.0
0.0,0.387,0.0,0.333,0.0,0.0,0.406,0.0,0.406,0.0,0.0,0.0,0.649,0.225,0.294,0.0,0.0,0.333,0.0
0.333,0.0,0.0,0.0,0.333,0.441,0.0,0.0,0.406,0.0,0.0,0.333,0.333,0.0,0.0,0.333,0.0,0.406,0.0
0.406,0.0,0.392,0.655,0.333,0.392,0.0,0.392,0.392,0.333,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0
0.0,0.0,0.406,0.0,0.52,0.0,0.68,0.0,0.459,0.559,0.0,0.605,0.0,0.392,0.465,0.568,0.58,0.0,0.703
0.0,0.705,0.406,0.0,0.0,0.0,0.333,0.0,0.406,0.0,0.367,0.406,0.333,0.618,0.0,0.0,0.531,0.0,0.406
0.0,0.0,0.0,0.333,0.0,0.396,0.0,0.0,0.0,0.0,0.0,0.406,0.0,0.0,0.645,0.0,0.0,0.0,0.0
0.445,0.0,0.0,0.392,0.68,0.559,0.0,0.0,0.0,0.0,0.406,0.0,0.387,0.445,0.0,0.0,0.0,0.0,0.54
0.0,0.387,0.0,0.406,0.575,0.0,0.0,0.367,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0
0.333,0.545,0.672,0.0,0.5,0.0,0.392,0.0,0.0,0.58,0.367,0.0,0.406,0.0,0.0,0.333,0.0,0.406,0.0
0.392,0.0,0.0,0.503,0.535,0.0,0.55,0.0,0.392,0.392,0.542,0.485,0.531,0.0,0.0,0.0,0.416,0.0,0.542
0.58,0.41,0.0,0.392,0.757,0.387,0.294,0.595,0.74,0.333,0.0,0.0,0.0,0.491,0.0,0.64,0.0,0.0,0.0
0.0,0.333,0.54,0.543,0.0,0.295,0.0,0.333,0.547,0.313,0.0,0.593,0.0,0.0,0.416,0.0,0.0,0.0,0.406
0.0,0.333,0.455,0.0,0.0,0.0,0.505,0.0,0.459,0.0,0.455,0.0,0.0,0.0,0.367,0.505,0.593,0.0,0.0
0.387,0.503,0.392,0.406,0.0,0.432,0.0,0.56,0.294,0.406,0.682,0.0,0.333,0.485,0.713,0.0,0.0,0.313,0.0
0.428,0.0,0.0,0.0,0.0,0.333,0.522,0.295,0.0,0.392,0.0,0.367,0.445,0.406,0.0,0.491,0.0,0.538,0.505
